,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,f34af4dbbbd35a23,True,1.0,1.0,0.9693999148752219,1.0,1.0,1.0,0.9872499645313425
1,f191de4360a35ad8,True,1.0,1.0,0.4976405251243466,1.0,1.0,1.0,0.7906835521351444
2,52a632acca085891,True,1.0,1.0,0.8893545036118659,1.0,1.0,1.0,0.9538977098382775
3,2d8b8e77af38568f,True,1.0,1.0,0.6124000551519243,1.0,1.0,1.0,0.8385000229799685
4,6f8c03f8038757cc,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5,9bfa838de21f5d25,True,1.0,1.0,0.8100845195894493,1.0,1.0,1.0,0.9208685498289372
6,a9152eadc70058ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,842d40cd41cf56e8,True,1.0,1.0,0.7880262628349768,1.0,1.0,1.0,0.9116776095145737
8,6e0a467af0205f04,True,1.0,1.0,0.773152662403824,1.0,1.0,1.0,0.9054802760015933
9,ac28e0768c6a5821,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,075cf94c3db15021,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,592f9e4317dd52e2,True,1.0,1.0,0.891685737088442,0.0,1.0,1.0,0.5382023904535175
12,7a18ceb376d859c1,True,1.0,1.0,0.6518912693586906,1.0,1.0,1.0,0.854954695566121
13,9464277f29025ad8,True,1.0,1.0,0.8325564794744538,1.0,1.0,1.0,0.9302318664476891
14,2972c31a52275dc1,True,1.0,1.0,0.6588596760917056,1.0,1.0,1.0,0.857858198371544
15,e3aa32e033635c8d,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
16,905ab0794c235f69,True,1.0,1.0,0.8772806578105592,1.0,1.0,1.0,0.9488669407543996
17,dcf89e4b93ba5fbe,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
18,12d426c6727d507a,True,1.0,1.0,0.7333395941922679,1.0,1.0,1.0,0.8888914975801115
19,3b3e36e9d816563c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,aa2918eb684351bd,True,1.0,1.0,0.9920504623363411,1.0,1.0,1.0,0.9966876926401421
21,8a6717a888fe55f9,True,1.0,1.0,0.7884672499750394,1.0,1.0,1.0,0.9118613541562665
22,cea4eb2a60da5354,True,1.0,1.0,0.7851886290684119,1.0,1.0,1.0,0.9104952621118384
23,824cd4fff1e25cb4,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
24,95329718628e5f7f,True,1.0,1.0,0.9625232666712127,1.0,1.0,1.0,0.9843846944463386
25,e9645135a4fe5739,True,1.0,1.0,0.7767838714553004,0.0,1.0,1.0,0.4903266131063752
26,d94860755c1f5594,True,1.0,1.0,0.9479702881708963,1.0,1.0,1.0,0.9783209534045402
27,816a869e91ae5d17,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
28,f335a11369685b08,True,1.0,1.0,0.8112532641258905,1.0,1.0,1.0,0.921355526719121
29,50b72b9404da516c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,3623f8c74e7a5d1d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,a9c368a110585b1a,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
32,2f421d857f32510e,True,1.0,1.0,0.9235862183280796,1.0,1.0,1.0,0.9681609243033664
33,97628f2e9ee55826,True,1.0,1.0,0.7948506012957411,1.0,1.0,1.0,0.9145210838732254
34,93141bb128bd5a34,True,1.0,1.0,0.7974509703357558,1.0,1.0,1.0,0.9156045709732316
35,2f482e2df2565b82,True,1.0,1.0,0.9223295813435656,0.0,1.0,1.0,0.5509706588931523
36,db951dbc3e595c29,True,1.0,1.0,0.9398921559601249,1.0,1.0,1.0,0.9749550649833854
37,bc8d053770cf5449,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,6ea198f259b85e49,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0de3f9728fc651a6,True,1.0,1.0,0.7639389439361581,1.0,1.0,1.0,0.9016412266400659
40,4dd817ed8b515ab1,True,1.0,1.0,0.8389989259528605,1.0,1.0,1.0,0.9329162191470252
41,fdb658e4941855a3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
42,30638699ab8e575c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,3010009fcb295507,True,1.0,1.0,0.8863021634401956,1.0,1.0,1.0,0.9526259014334149
44,ade00f93385b5d14,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,199a2738284e52c9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,c46b2546f3565375,True,1.0,1.0,0.5926620982370933,1.0,1.0,1.0,0.8302758742654556
47,ccc2b2377fea5191,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,7a3e5ab8218e550f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,f2e2e64000445230,True,1.0,1.0,0.9333694862598858,1.0,1.0,1.0,0.9722372859416191
50,1f381d3a242b54f0,True,1.0,1.0,0.7722068125720297,1.0,1.0,1.0,0.9050861719050124
