,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,352fabb819b95d6c,True,1.0,1.0,0.5634803222232273,1.0,1.0,1.0,0.8181168009263446
1,3338ad25c2cc59d1,True,1.0,1.0,0.6147856140873696,1.0,1.0,1.0,0.8394940058697373
2,32e38b7677e15f69,True,1.0,1.0,0.902106877559902,1.0,1.0,1.0,0.9592111989832924
3,df044fb9c65c5d52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,9d74f6f9b0a25c90,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5,e704fb7745a75fd7,True,1.0,1.0,0.6003795258463265,1.0,1.0,1.0,0.8334914691026359
6,c169cf799b165800,True,1.0,1.0,0.5926861205337013,1.0,1.0,1.0,0.8302858835557089
7,701eca801b6f5ba9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,179ca3af622e5e0d,True,1.0,1.0,0.8472078505703525,1.0,1.0,1.0,0.9363366044043135
9,f07e680e53135311,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,c8bf5f09438e5507,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
11,a5f5f03bc998578d,True,1.0,1.0,0.982610572615271,1.0,1.0,1.0,0.9927544052563629
12,38d4aa43f5f25eeb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,63ab092351905a60,True,1.0,1.0,0.9194607116040276,1.0,1.0,1.0,0.9664419631683449
14,ef7822ee7fa35042,True,1.0,1.0,0.8105404945207045,1.0,1.0,1.0,0.9210585393836269
15,bed7a2c445315bb7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
16,8704f4971e305ed3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,ed98d12e4c99536d,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
18,c0e14f1288ca5066,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,230ab732c0d65fb3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,8e9f743d92c05d10,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,10b9d1b254f35a74,True,1.0,1.0,0.6218022205322609,1.0,1.0,1.0,0.842417591888442
23,23d0ae8aedf8537b,True,1.0,1.0,0.9710287438821389,1.0,1.0,1.0,0.9879286432842246
24,b3a00387265a5cdc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,f3512ae175b45844,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,05d0a1a763fc5334,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,862e27b57f9d50ac,True,1.0,1.0,0.9035897171695477,1.0,1.0,1.0,0.9598290488206449
28,f205efb84def5cc8,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
29,2b5dabfa534156c0,True,1.0,1.0,0.8558075151259236,1.0,1.0,1.0,0.9399197979691348
30,d20659149c14557c,True,0.5,1.0,0.9104380005419008,0.0,1.0,1.0,0.27300791677956265
31,7d664c7260d45737,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
32,f40843145ae35cd8,True,1.0,1.0,0.5126798334253042,1.0,1.0,0.5,0.7969499305938768
33,54c208abe15c56e5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0af3e039185d57f3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
35,6d2b59f78d995d9c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,a30baeb5294658b3,True,1.0,1.0,0.8357007987415477,1.0,1.0,1.0,0.931541999475645
37,113d448b6ea8555c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,ab6e020759565f9f,True,1.0,1.0,0.768199641660142,1.0,1.0,1.0,0.9034165173583926
39,12177b43d67d51a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,55d6a50a401f52f7,True,1.0,1.0,0.8933547984919701,1.0,1.0,1.0,0.9555644993716541
41,02ff5ce64ad75584,True,1.0,1.0,0.8337660030174636,1.0,1.0,1.0,0.9307358345906098
42,be43454e5a4f5a2a,True,1.0,1.0,0.6789134333779557,1.0,1.0,1.0,0.8662139305741482
43,59c3714116c25a7c,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
44,4ed6b1b83e0c5bbe,True,1.0,1.0,0.5873196835668589,1.0,1.0,1.0,0.828049868152858
45,ad3d0b30c78355d4,True,1.0,1.0,0.8891415744052928,1.0,1.0,1.0,0.9538089893355387
46,f3e32c06633756e9,True,1.0,1.0,0.7515519588986006,1.0,1.0,1.0,0.8964799828744169
47,0a0d98c22d765e1e,True,1.0,1.0,0.5950762238349656,1.0,1.0,1.0,0.8312817599312355
48,e1209ca7050c5033,True,1.0,1.0,0.7299471474307142,1.0,1.0,1.0,0.8874779780961308
49,65caa24efb4556af,True,1.0,1.0,0.7609743937586632,1.0,1.0,1.0,0.900405997399443
50,222a07b15e165f6f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,d22135cc2a13514f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,d5b37b79dde85eb1,True,1.0,1.0,0.7178699454970063,1.0,1.0,1.0,0.8824458106237527
53,5ae0b5e6a95f5335,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,eab63019e1825aea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,7c150adbe5225f20,True,1.0,1.0,0.9831641426450295,1.0,1.0,1.0,0.992985059435429
56,de0726643f515304,True,1.0,1.0,0.8317252650280412,1.0,1.0,1.0,0.9298855270950172
57,866edd106b555de6,True,1.0,1.0,0.7899652910204473,1.0,1.0,1.0,0.9124855379251864
58,a0f499d0aab45bab,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,a4ba9521736a59f9,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
60,d2f121776fd05b4b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,1d3a143cf41f5d16,True,1.0,1.0,0.5972169169196031,1.0,1.0,1.0,0.8321737153831679
62,ba62104a517e5a9b,True,1.0,1.0,0.8647005593857352,1.0,1.0,1.0,0.9436252330773897
63,f51a75fadd695f06,True,1.0,1.0,0.7099363696601865,1.0,1.0,1.0,0.8791401540250776
64,4a55d9d08b7752e8,True,1.0,1.0,0.6394703557622837,1.0,1.0,1.0,0.8497793149009515
65,e849e6a954285f60,True,1.0,1.0,0.8967310841475731,1.0,1.0,1.0,0.9569712850614888
66,9157902936a456bf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,aab09057df0a515d,True,1.0,1.0,0.8201524620430306,1.0,1.0,1.0,0.9250635258512627
68,be87511d69ba58e7,True,1.0,1.0,0.8614702476759436,1.0,1.0,1.0,0.9422792698649766
69,2d4b17f8d7585219,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,4bc96604c1c85606,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
71,34e7c93be2465f25,True,1.0,1.0,0.35262481975472476,1.0,1.0,1.0,0.7302603415644686
72,ddf3383ec8965d9b,True,1.0,1.0,0.806439739042648,1.0,1.0,1.0,0.9193498912677699
73,d25b6512a43f5e54,True,1.0,1.0,0.7905785573370528,1.0,1.0,1.0,0.9127410655571054
74,b1520b6af9705191,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,02b68b9cc51f506a,True,1.0,1.0,0.6820591570389766,1.0,1.0,1.0,0.8675246487662402
76,f1042fb26da2534a,True,1.0,1.0,0.8920461210201168,1.0,1.0,1.0,0.9550192170917153
77,b5c2d13e8d5c517a,True,1.0,1.0,0.8043910855452924,1.0,1.0,1.0,0.9184962856438718
78,956e3aa8415b5712,True,1.0,1.0,0.6074398876653488,1.0,1.0,1.0,0.8364332865272287
79,f34af4dbbbd35a23,True,1.0,1.0,0.9693999148752219,1.0,1.0,1.0,0.9872499645313425
80,9b0b6d3472465b35,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,8af2a66435ea565a,True,1.0,1.0,0.9324496090106622,1.0,1.0,1.0,0.9718540037544425
82,72779ff1ead25f44,True,1.0,1.0,0.7530205671375086,1.0,1.0,1.0,0.8970919029739619
83,b3de01e79b725ae4,True,1.0,1.0,0.917352883348143,1.0,1.0,1.0,0.9655637013950596
84,96f6cde1205e5865,True,1.0,1.0,0.7412357955821928,1.0,1.0,1.0,0.8921815814925803
85,e009079e2dc25bbf,True,1.0,1.0,0.9141678234666268,1.0,1.0,1.0,0.9642365931110946
86,f638ae3f35d25d55,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
87,7f0cb33eb150567e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,5590042a1aaa5f92,True,1.0,1.0,0.984128770018165,1.0,1.0,1.0,0.9933869875075688
89,3ae409424da65443,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,f05325ffb9425a4b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,25a3a5bc491d521b,True,1.0,1.0,0.8396439637796409,1.0,1.0,1.0,0.9331849849081837
92,14b270ee5a395ea9,True,1.0,1.0,0.9040266726896644,1.0,1.0,1.0,0.9600111136206935
93,134a3394c9b756d9,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
94,e9a26f1753a85a88,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,39752b75d70d5458,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,45408d0676b7570c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,8abfcd61303b52df,True,1.0,1.0,0.7211981394823365,1.0,1.0,1.0,0.8838325581176402
98,5a8a6c9d92935076,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
99,9b5cb743a4a4590b,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0
100,708d081d555a5aa7,True,1.0,1.0,0.6891443446446133,1.0,1.0,1.0,0.8704768102685888
101,85c0017516e95fdc,True,1.0,1.0,0.9484258964438353,1.0,1.0,1.0,0.9785107901849314
102,6d7754fdda3a50a6,True,1.0,1.0,0.9747687580467912,1.0,1.0,1.0,0.9894869825194963
103,df7e2f19b3cc5ba6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,342596d95a475bed,True,1.0,1.0,0.9921114372945641,1.0,1.0,0.5,0.9967130988727351
105,4201a91014c852a8,True,1.0,1.0,0.8313625944004795,1.0,1.0,1.0,0.9297344143335332
106,b814c5b773165d87,True,1.0,1.0,0.8939196329891456,1.0,1.0,1.0,0.9557998470788106
107,110bec4c6d2153d7,True,1.0,1.0,0.8639720477010848,1.0,1.0,1.0,0.9433216865421187
108,210a1c9ce3725a53,True,1.0,1.0,0.9337918530004043,1.0,1.0,1.0,0.9724132720835018
109,bf4fdfa51e215217,True,1.0,1.0,0.8359672100467512,1.0,1.0,1.0,0.9316530041861464
110,d4d21ecb8e4058e8,True,1.0,1.0,0.6075866162864575,1.0,1.0,1.0,0.8364944234526906
111,8d3c8a698ac65342,True,1.0,1.0,0.6634054066795936,1.0,1.0,1.0,0.859752252783164
112,b19f226d281e588a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
113,deae4b3cac52513c,True,1.0,1.0,0.932260604107515,1.0,1.0,1.0,0.9717752517114646
114,fe0c83d70ca456ae,True,1.0,1.0,0.879919719206623,1.0,1.0,1.0,0.9499665496694263
115,a97ceb2edd0251f9,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
116,a1f35d4460345de8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,c4fad4d040a75b90,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
118,ecb0765ba5c05fa3,True,1.0,1.0,0.9448038493444093,1.0,1.0,1.0,0.977001603893504
119,d39ff27c54d55ef1,True,1.0,1.0,0.9643427583347425,1.0,1.0,1.0,0.9851428159728094
120,c20652fc6a78529b,True,1.0,1.0,0.6739833715508833,1.0,1.0,1.0,0.8641597381462014
121,be63913f07ee5245,True,1.0,1.0,0.7648619645810943,1.0,1.0,0.5,0.9020258185754559
122,c3c6442b2f525269,True,1.0,1.0,0.9537911151369826,1.0,1.0,1.0,0.9807462979737428
123,1bdfacbfcff75c27,True,1.0,1.0,0.7288660434222968,1.0,1.0,1.0,0.8870275180926237
124,3a4e9626c9aa5fa0,True,1.0,1.0,0.960046758191137,1.0,1.0,1.0,0.9833528159129737
125,12ca80cc0d575578,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,659d1e0ce6cd5c97,True,1.0,1.0,0.397639743333652,1.0,1.0,1.0,0.7490165597223549
127,4efe0ad78b655ecd,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
128,a90317c305c3505a,True,1.0,1.0,0.8543452862175631,1.0,1.0,1.0,0.9393105359239846
129,cb1d400e9da85f43,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,53414ba6577d5923,True,1.0,1.0,0.7136745737595722,1.0,1.0,1.0,0.8806977390664885
131,9f528c7bfca6509b,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
132,617ceb438e0d5324,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133,08e03654c0ca5151,True,1.0,1.0,0.9942968522647855,1.0,1.0,1.0,0.9976236884436606
134,ce9ee9a68a4c5e93,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,ff4125f507e35f9b,True,1.0,1.0,0.7846639575340545,1.0,1.0,1.0,0.9102766489725228
136,ff76d319bd9558f9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,39147f08f4645365,True,1.0,1.0,0.9404500618771952,1.0,1.0,1.0,0.9751875257821646
138,163c9ec0110e5384,True,1.0,1.0,0.7309859709612685,1.0,1.0,1.0,0.8879108212338619
139,6d93bbdab42255a9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,2ec48f094e475d85,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141,7e238e859ebb5720,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
142,f790e64181a15f5a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
143,df534bbfbbba5b0c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,e6e4e254f1c55405,True,1.0,1.0,0.7415931837463614,1.0,1.0,1.0,0.8923304932276506
145,98b148d419725caa,True,1.0,1.0,0.5322668659194569,1.0,1.0,1.0,0.805111194133107
146,5cd75b90a44e5a65,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147,83b935eff1815935,True,1.0,1.0,0.9128824235383339,1.0,1.0,1.0,0.9637010098076392
148,ec02f065af405039,True,1.0,1.0,0.7629977502777675,1.0,1.0,1.0,0.9012490626157365
149,c8aeadf284a05f44,True,1.0,1.0,0.7035235439793603,1.0,1.0,1.0,0.8764681433247334
150,c90097f9ce775eab,True,1.0,1.0,0.7845485034619546,1.0,1.0,1.0,0.9102285431091478
151,36e3e0f9a589578d,True,1.0,1.0,0.7066300069654033,1.0,1.0,1.0,0.8777625029022514
152,2bc2525a4ee95ef4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,3ff5c9a5bd155bb2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,79c024b87e175129,True,1.0,1.0,0.9478278497732807,1.0,1.0,1.0,0.9782616040722004
155,094551eaba7351f5,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
156,8c554c3017d05e9b,True,1.0,1.0,0.8706513708439887,1.0,1.0,1.0,0.9461047378516619
157,89df824d0cfd525e,True,1.0,1.0,0.6902132259225945,1.0,1.0,1.0,0.8709221774677477
158,4334739a7f4e554e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,bf0a29ccead65750,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
160,5f70e91ff9d250f5,True,1.0,1.0,0.7829803464291328,1.0,1.0,1.0,0.9095751443454719
161,1b01f89fe48355b6,True,1.0,1.0,0.6857399303591083,1.0,1.0,1.0,0.8690583043162952
162,5691c7c24fdd5e16,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,4a4316b978495bba,True,1.0,1.0,0.6807513910949744,1.0,1.0,1.0,0.8669797462895726
164,87a5fd24e88d5e0a,True,1.0,1.0,0.790382818039607,1.0,1.0,1.0,0.9126595075165028
