,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,27bcec96f13c5426,True,1.0,1.0,0.9534306578680326,1.0,1.0,1.0,0.9805961074450136
1,4a0ba18cefc05c63,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,36e3e0f9a589578d,True,1.0,1.0,0.5744980596875918,1.0,1.0,1.0,0.82270752486983
3,afbbcee34f1850fd,True,1.0,1.0,0.7494760462638501,1.0,1.0,1.0,0.8956150192766043
4,7edfabe116e25844,True,1.0,1.0,0.9530010109707899,1.0,1.0,1.0,0.9804170879044958
5,12d426c6727d507a,True,1.0,1.0,0.7333395941922679,1.0,1.0,1.0,0.8888914975801115
6,4fabf8c780005e4f,True,1.0,1.0,0.9087904415579701,1.0,1.0,1.0,0.9619960173158209
7,d745bef1cebc52e7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,a15ed2f3e39c5c0d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,54c208abe15c56e5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,cea4eb2a60da5354,True,1.0,1.0,0.9705196752419932,1.0,1.0,1.0,0.9877165313508304
11,2cc421e9b3fd5c17,True,1.0,1.0,0.947299450520341,1.0,1.0,1.0,0.9780414377168087
12,bd70654aee0f54a6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,3f2cec87b5ad5d96,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,a43d45f7369d5489,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,77919997d5c352d8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,8a6717a888fe55f9,True,1.0,1.0,0.7884672499750394,1.0,1.0,1.0,0.9118613541562665
17,5379d354b9b95048,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
18,9104884bcb915c08,True,1.0,1.0,0.9093893668511007,1.0,1.0,1.0,0.962245569521292
19,ea1302023ad258ff,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20,bf8c5276f9a6539d,True,1.0,1.0,0.759146893998961,1.0,1.0,1.0,0.8996445391662338
21,8436ac812af859df,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,dcd3886f044a5e29,True,1.0,1.0,0.857335887453766,1.0,1.0,1.0,0.9405566197724026
23,74c77891a7d45a15,True,1.0,1.0,0.8668634617973098,1.0,1.0,1.0,0.9445264424155457
24,222a07b15e165f6f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,6894aab92b0058dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,e36f096910ed562a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,f16fe36eef2b5157,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,223cdeaddc525446,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,90c6b53ec4a252bc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,f14a3d3672035597,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,6871543e963f5bdf,True,1.0,1.0,0.651810286850554,1.0,1.0,1.0,0.8549209528543975
32,b133316a0e795993,True,1.0,1.0,0.8339827329811321,1.0,1.0,1.0,0.9308261387421384
33,19f3e77fcd3353c5,True,1.0,1.0,0.9658834486108343,1.0,1.0,1.0,0.9857847702545143
34,5eef9aece027548e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,9d02128f653455a3,True,1.0,1.0,0.9543829720839963,1.0,1.0,1.0,0.9809929050349985
36,862e27b57f9d50ac,True,1.0,1.0,0.9035897171695477,1.0,1.0,1.0,0.9598290488206449
37,d6fc32608ecc581c,True,1.0,1.0,0.7855447001156606,1.0,1.0,1.0,0.9106436250481919
38,037b976caae85af5,True,1.0,1.0,0.6602784220166094,1.0,1.0,1.0,0.8584493425069205
39,ef90f66b5d465ebf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,c169cf799b165800,True,1.0,1.0,0.5926861205337013,1.0,1.0,1.0,0.8302858835557089
41,fbf2eaa61abb5a2f,True,1.0,1.0,0.9248239974905198,1.0,1.0,1.0,0.9686766656210498
42,008144fe47ac5f74,True,1.0,1.0,0.8273389216421649,1.0,1.0,1.0,0.9280578840175687
43,d9b577262eed5ceb,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
44,026e7b1e0e335625,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,7d10959013575b2d,True,1.0,1.0,0.7685332357585167,1.0,1.0,1.0,0.903555514899382
46,b96ea08d168f5a3d,True,1.0,1.0,0.8047808423365903,1.0,1.0,1.0,0.9186586843069127
47,748a5531d6415e0c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,bc68d211a62d5c19,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,75151361dbe658bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5f70e91ff9d250f5,True,1.0,1.0,0.7641242816366253,1.0,1.0,1.0,0.9017184506819271
51,1eb474de58ca5d6f,True,1.0,1.0,0.9296773278795911,1.0,1.0,1.0,0.9706988866164963
52,fd9dc4abc0d357a1,True,1.0,1.0,0.5462965836850686,1.0,1.0,1.0,0.8109569098687786
53,9f3b77fe8cd3541c,True,1.0,1.0,0.8736863286958974,1.0,1.0,1.0,0.9473693036232905
54,1b3ed6f1e9b8574d,True,1.0,1.0,0.5513700775860385,1.0,1.0,1.0,0.8130708656608494
55,09a0456056555b0a,True,1.0,1.0,0.7581727079187374,1.0,1.0,1.0,0.8992386282994739
56,366c7e46b0415253,True,1.0,1.0,0.7243050339722259,1.0,1.0,1.0,0.8851270974884274
57,cc063cc1396551a6,True,1.0,1.0,0.8425157936048262,1.0,1.0,1.0,0.9343815806686776
58,73e3a1a2ed275417,True,1.0,1.0,0.6191333008601418,1.0,1.0,1.0,0.8413055420250591
59,994c2c1c459b5cc8,True,1.0,1.0,0.688362337780921,1.0,1.0,1.0,0.8701509740753838
60,b23be6b0d9765878,True,1.0,1.0,0.8413376817177549,1.0,1.0,1.0,0.9338907007157312
61,aab09057df0a515d,True,1.0,1.0,0.8201524620430306,1.0,1.0,1.0,0.9250635258512627
