,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,fa545b09688957b8,True,1.0,1.0,0.9935165728445919,1.0,1.0,1.0,0.99729857201858
1,a04628cdd3f25947,True,1.0,1.0,0.8856304000979458,1.0,1.0,1.0,0.9523460000408107
2,ff9058bacb845910,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0dc3dee5c8815a90,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,b4eb56fcd01857bb,True,1.0,1.0,0.7393124312404591,1.0,1.0,1.0,0.8913801796835247
5,b133316a0e795993,True,1.0,1.0,0.8339827329811321,1.0,1.0,1.0,0.9308261387421384
6,1423dcf83efa5241,True,1.0,1.0,0.6804980682447194,1.0,1.0,1.0,0.8668741951019664
7,6498149e85ef5b8d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,610271d0c1515c8c,True,1.0,1.0,0.7695025315443288,1.0,1.0,1.0,0.9039593881434703
9,9e77d9cf35e05d55,True,1.0,1.0,0.8674848039070039,1.0,1.0,1.0,0.9447853349612516
10,963ea50b7eb2554b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,b5271c19eef859ed,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
12,684dc9c8167b5189,True,1.0,1.0,0.5632320009270704,1.0,1.0,1.0,0.8180133337196126
13,002672a228395a16,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,559c83269c035643,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3bb3a8f506bf5980,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0
16,97f7a14f8a835f59,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,d94860755c1f5594,True,1.0,1.0,0.9200994650798192,1.0,1.0,1.0,0.9667081104499248
18,2f421d857f32510e,True,1.0,1.0,0.9331948058916248,1.0,1.0,1.0,0.9721645024548436
19,2d55129330045d3f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,dc952092ef6a5243,True,1.0,1.0,0.7157228442637086,1.0,1.0,1.0,0.8815511851098785
21,f7d40806c7045d54,True,1.0,1.0,0.9501082013874083,1.0,1.0,1.0,0.9792117505780867
22,40c06c252a275c50,True,1.0,1.0,0.6746708752212932,1.0,1.0,1.0,0.8644461980088721
23,6469176632cf52a0,True,1.0,1.0,0.9460126675288206,1.0,1.0,1.0,0.9775052781370087
24,3770407dcc67520c,True,1.0,1.0,0.7737620989657098,1.0,1.0,1.0,0.9057342079023791
25,5a4811a0bde955b3,True,1.0,1.0,0.8176701491386692,1.0,1.0,1.0,0.9240292288077789
26,afe269451bc757e1,True,1.0,1.0,0.5954659989257637,1.0,1.0,1.0,0.8314441662190681
27,8390620a5e745bfa,True,1.0,1.0,0.3773306967660622,1.0,1.0,1.0,0.7405544569858593
28,9949b537feb55564,True,1.0,1.0,0.9085073859700444,1.0,1.0,1.0,0.9618780774875185
29,c45fc2b353c655af,True,1.0,1.0,0.9098220068204932,1.0,1.0,1.0,0.9624258361752055
30,9a357640ddd453d2,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
31,3d11d1a35e8f500d,True,1.0,1.0,0.8460370483661055,1.0,1.0,1.0,0.935848770152544
32,9a1d23e8ed1b5837,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
33,75f91ced021c543e,True,1.0,1.0,0.9073378812128244,1.0,1.0,1.0,0.9613907838386768
34,7328fe7f857051ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,a460a03aab635f35,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
36,8704f4971e305ed3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,ea3b45489faf5c70,True,1.0,1.0,0.7242363563006367,1.0,1.0,1.0,0.8850984817919318
38,79bba6381fb85a36,True,1.0,1.0,0.9261355041354957,1.0,1.0,1.0,0.9692231267231232
39,cd72b9f6b03f5f41,True,1.0,1.0,0.8973106564628683,1.0,1.0,1.0,0.9572127735261952
40,4b3c6a95987c552d,True,1.0,1.0,0.9903514266907039,1.0,1.0,1.0,0.9959797611211266
41,75811dfc02ce59f7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,d781ee7dce4a5351,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,a8ee480d197e56dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,52a632acca085891,True,1.0,1.0,0.8856639324274369,1.0,1.0,1.0,0.9523599718447654
45,d6b5646287065fa8,True,1.0,1.0,0.7049045774693038,1.0,1.0,1.0,0.8770435739455432
46,4cdd4e33b01a52a8,True,1.0,1.0,0.8798517925254898,1.0,1.0,1.0,0.9499382468856208
